subscription_id,industry,country,plan_tier,account_id,a_seats,seats,mrr_amount,is_trial,churn_flag,total_usage_count,total_usage_duration_secs,price_shock_pct,price_post
S-003647,EdTech,AU,Enterprise,A-e36807,6,9,1791.0,False,False,71,13018,0.05,1880.5500000000002
S-006908,EdTech,UK,Pro,A-d82ef9,26,26,1274.0,False,False,13,403,0.1,1401.4
S-006fed,HealthTech,US,Basic,A-ac9111,21,21,399.0,False,True,104,39033,0.0,399.0
S-007e2c,DevTools,US,Pro,A-cb5333,33,33,1617.0,False,False,49,12922,0.1,1778.7
S-008cab,HealthTech,US,Pro,A-202b67,11,11,539.0,False,False,96,28356,0.1,592.9000000000001
S-00ab51,FinTech,CA,Pro,A-ae052e,39,39,1911.0,False,False,49,13374,-0.05,1815.4499999999998
S-00dea4,FinTech,CA,Enterprise,A-a6d261,9,15,2985.0,False,False,63,16766,0.0,2985.0
S-00fb6e,EdTech,IN,Basic,A-c16101,7,13,247.0,False,False,57,17714,0.0,247.0
S-012ab9,DevTools,US,Basic,A-b78bf8,33,33,627.0,False,False,64,16978,0.0,627.0
S-0144ac,EdTech,FR,Enterprise,A-5a215a,87,87,17313.0,False,False,30,9981,0.1,19044.300000000003
S-0146f6,EdTech,US,Enterprise,A-7641d3,8,13,2587.0,False,False,52,23505,0.05,2716.35
S-017e33,DevTools,FR,Basic,A-f9cc74,30,53,1007.0,False,True,61,18792,0.0,1007.0
S-018501,Cybersecurity,US,Pro,A-a865bd,38,56,2744.0,False,False,62,16314,0.1,3018.4
S-01990c,Cybersecurity,US,Enterprise,A-d62e02,6,16,3184.0,False,False,3,1206,-0.05,3024.7999999999997
S-01daf5,Cybersecurity,US,Pro,A-9affe6,7,23,1127.0,False,False,68,17944,0.05,1183.3500000000001
S-020222,FinTech,US,Pro,A-02fac6,22,22,1078.0,False,False,47,16797,-0.05,1024.1
S-0206eb,Cybersecurity,IN,Basic,A-883b7d,17,31,589.0,False,False,65,19454,0.05,618.45
S-020dce,DevTools,US,Enterprise,A-10b8da,14,14,2786.0,False,False,7,903,0.1,3064.6000000000004
S-021004,HealthTech,US,Basic,A-186a44,20,20,380.0,False,False,9,5274,-0.1,342.0
S-021985,HealthTech,US,Enterprise,A-66224b,92,92,18308.0,False,True,56,11158,0.05,19223.4
S-021ca9,Cybersecurity,US,Basic,A-9affe6,7,18,342.0,False,False,40,18294,-0.05,324.9
S-025bea,Cybersecurity,US,Pro,A-9affe6,7,17,833.0,False,False,55,19774,0.1,916.3000000000001
S-02ab8b,DevTools,US,Enterprise,A-4e44e8,3,75,14925.0,False,False,52,18549,0.05,15671.25
S-02b3a1,DevTools,US,Basic,A-e6afc1,1,18,342.0,False,False,45,10568,-0.1,307.8
S-02be35,FinTech,US,Pro,A-e08cd3,67,67,3283.0,False,True,78,23750,-0.1,2954.7000000000003
S-02cde8,Cybersecurity,UK,Enterprise,A-5b4ebb,21,63,12537.0,False,False,65,21662,0.0,12537.0
S-02d6c8,FinTech,US,Enterprise,A-3a7284,31,31,6169.0,False,False,54,19033,0.0,6169.0
S-02ec76,FinTech,US,Pro,A-e60f9d,29,29,1421.0,False,False,78,17731,-0.05,1349.95
S-0337da,DevTools,UK,Enterprise,A-098560,1,29,5771.0,False,False,108,39573,0.05,6059.55
S-03a5b0,EdTech,US,Enterprise,A-068fc6,35,35,6965.0,False,False,45,8581,0.05,7313.25
S-03a939,DevTools,US,Enterprise,A-cd458b,10,26,5174.0,False,False,21,3510,0.0,5174.0
S-03ac49,HealthTech,IN,Enterprise,A-35083d,19,19,3781.0,False,False,27,4728,0.05,3970.05
S-041534,DevTools,US,Pro,A-4e0e85,6,38,1862.0,False,False,40,11988,0.05,1955.1000000000001
S-041624,HealthTech,CA,Enterprise,A-6843f2,21,21,4179.0,False,False,59,15568,-0.1,3761.1
S-0455a5,HealthTech,US,Enterprise,A-993085,31,42,8358.0,False,True,31,4423,0.0,8358.0
S-0459a1,HealthTech,US,Enterprise,A-8e47ca,19,19,3781.0,False,False,86,24248,0.1,4159.1
S-0463f5,DevTools,US,Pro,A-7df7a7,7,7,343.0,False,False,19,8670,0.0,343.0
S-049328,FinTech,US,Pro,A-39b19f,1,55,2695.0,False,False,41,15254,0.1,2964.5000000000005
S-04b127,FinTech,CA,Basic,A-a6d261,9,9,171.0,False,False,24,10844,-0.1,153.9
S-053142,EdTech,US,Basic,A-ffc04f,13,16,304.0,False,False,60,18508,-0.05,288.8
S-054897,HealthTech,DE,Pro,A-de58ca,15,15,735.0,False,False,66,11959,0.05,771.75
S-056af2,EdTech,UK,Enterprise,A-054577,2,75,14925.0,False,False,34,15742,-0.1,13432.5
S-0586ad,Cybersecurity,FR,Enterprise,A-7920cc,39,39,7761.0,False,False,52,13633,0.05,8149.05
